ID,CreatedAt,Phone,Net Model,Model Median,Model mAP,Delegate
vXlaMvfiy1H9QZJC1Ngk,2024-09-15 11:44:40.612000+00:00,OnePlus 9 Pro,MobileNetV3-large,24695130,22.6,CPU4
vXlaMvfiy1H9QZJC1Ngk,2024-09-15 11:44:40.612000+00:00,OnePlus 9 Pro,MobileNetV2,6530182,22.0,CPU4
vXlaMvfiy1H9QZJC1Ngk,2024-09-15 11:44:40.612000+00:00,OnePlus 9 Pro,YoloV5s,276160338,36.7,CPU4
vXlaMvfiy1H9QZJC1Ngk,2024-09-15 11:44:40.612000+00:00,OnePlus 9 Pro,MobileNetV3-small,13439843,15.4,CPU4
vXlaMvfiy1H9QZJC1Ngk,2024-09-15 11:44:40.612000+00:00,OnePlus 9 Pro,MobileNetV1,9921927,18.0,CPU4
7skGkGg3KYJrY9Z7pqrj,2024-09-10 19:28:51.109000+00:00,Samsung Galaxy S24,MobileNetV3-large,22939160,22.6,CPU4
7skGkGg3KYJrY9Z7pqrj,2024-09-10 19:28:51.109000+00:00,Samsung Galaxy S24,MobileNetV2,7742265,22.0,CPU4
7skGkGg3KYJrY9Z7pqrj,2024-09-10 19:28:51.109000+00:00,Samsung Galaxy S24,YoloV5s,259047539,36.7,CPU4
7skGkGg3KYJrY9Z7pqrj,2024-09-10 19:28:51.109000+00:00,Samsung Galaxy S24,MobileNetV3-small,13498164,15.4,CPU4
7skGkGg3KYJrY9Z7pqrj,2024-09-10 19:28:51.109000+00:00,Samsung Galaxy S24,MobileNetV1,13353066,18.0,CPU4
DJ9xvkVtLx0mQOxZyuMX,2024-09-10 20:22:01.716000+00:00,Samsung Galaxy S24,MobileNetV3-large,11325449,22.6,GPU
DJ9xvkVtLx0mQOxZyuMX,2024-09-10 20:22:01.716000+00:00,Samsung Galaxy S24,MobileNetV2,6511074,22.0,GPU
DJ9xvkVtLx0mQOxZyuMX,2024-09-10 20:22:01.716000+00:00,Samsung Galaxy S24,YoloV5s,36282695,36.7,GPU
DJ9xvkVtLx0mQOxZyuMX,2024-09-10 20:22:01.716000+00:00,Samsung Galaxy S24,MobileNetV3-small,12472481,15.4,GPU
DJ9xvkVtLx0mQOxZyuMX,2024-09-10 20:22:01.716000+00:00,Samsung Galaxy S24,MobileNetV1,10138730,18.0,GPU
SCId7GHwM5oODKsgi0Lg,2024-09-14 15:02:59.856000+00:00,Samsung Galaxy S24,MobileNetV3-large,21984609,22.6,CPU6
SCId7GHwM5oODKsgi0Lg,2024-09-14 15:02:59.856000+00:00,Samsung Galaxy S24,MobileNetV2,6836953,22.0,CPU6
SCId7GHwM5oODKsgi0Lg,2024-09-14 15:02:59.856000+00:00,Samsung Galaxy S24,YoloV5s,209495097,36.7,CPU6
SCId7GHwM5oODKsgi0Lg,2024-09-14 15:02:59.856000+00:00,Samsung Galaxy S24,MobileNetV3-small,11457246,15.4,CPU6
SCId7GHwM5oODKsgi0Lg,2024-09-14 15:02:59.856000+00:00,Samsung Galaxy S24,MobileNetV1,11803652,18.0,CPU6
Y6JJPORtDcilGPvRPW0h,2024-09-15 12:23:59.597000+00:00,OnePlus 9 Pro,MobileNetV3-large,45943932,22.6,CPU6
Y6JJPORtDcilGPvRPW0h,2024-09-15 12:23:59.597000+00:00,OnePlus 9 Pro,MobileNetV2,17230807,22.0,CPU6
Y6JJPORtDcilGPvRPW0h,2024-09-15 12:23:59.597000+00:00,OnePlus 9 Pro,YoloV5s,258191380,36.7,CPU6
Y6JJPORtDcilGPvRPW0h,2024-09-15 12:23:59.597000+00:00,OnePlus 9 Pro,MobileNetV3-small,25945859,15.4,CPU6
Y6JJPORtDcilGPvRPW0h,2024-09-15 12:23:59.597000+00:00,OnePlus 9 Pro,MobileNetV1,20863177,18.0,CPU6
w6GawFhUbrjbmsrwSzCj,2024-09-15 12:44:46.263000+00:00,OnePlus 9 Pro,MobileNetV3-large,10905755,22.6,GPU
w6GawFhUbrjbmsrwSzCj,2024-09-15 12:44:46.263000+00:00,OnePlus 9 Pro,MobileNetV2,11800130,22.0,GPU
w6GawFhUbrjbmsrwSzCj,2024-09-15 12:44:46.263000+00:00,OnePlus 9 Pro,YoloV5s,68643281,36.7,GPU
w6GawFhUbrjbmsrwSzCj,2024-09-15 12:44:46.263000+00:00,OnePlus 9 Pro,MobileNetV3-small,8117578,15.4,GPU
w6GawFhUbrjbmsrwSzCj,2024-09-15 12:44:46.263000+00:00,OnePlus 9 Pro,MobileNetV1,19600990,18.0,GPU
aNmnpTcqhrII0iej0Kij,2024-09-14 15:14:49.198000+00:00,Samsung Galaxy S24,MobileNetV3-large,11354179,22.6,GPU
aNmnpTcqhrII0iej0Kij,2024-09-14 15:14:49.198000+00:00,Samsung Galaxy S24,MobileNetV2,6297500,22.0,GPU
aNmnpTcqhrII0iej0Kij,2024-09-14 15:14:49.198000+00:00,Samsung Galaxy S24,YoloV5s,32911660,36.7,GPU
